NAMESPACE                           NAME                          READY     STATUS      RESTARTS   AGE       IP            NODE                 LABELS
default                             docker-registry-1-4grnd       1/1       Running     1          7d        10.131.0.8    ocp-server2.ps.lab   deployment=docker-registry-1,deploymentconfig=docker-registry,docker-registry=default
default                             registry-console-1-kfpdp      1/1       Running     1          7d        10.129.0.7    ocp-server1.ps.lab   app=registry-console,deployment=registry-console-1,deploymentconfig=registry-console,name=registry-console
default                             router-2-527nc                1/1       Running     1          7d        10.57.0.42    ocp-server2.ps.lab   deployment=router-2,deploymentconfig=router,router=router
default                             router-2-rzp9v                1/1       Running     1          7d        10.57.0.43    ocp-server3.ps.lab   deployment=router-2,deploymentconfig=router,router=router
kube-service-catalog                apiserver-ch4f6               1/1       Running     3          7d        10.129.0.9    ocp-server1.ps.lab   app=apiserver,controller-revision-hash=4251904065,pod-template-generation=1
kube-service-catalog                controller-manager-xr662      1/1       Running     0          2h        10.129.0.15   ocp-server1.ps.lab   app=controller-manager,controller-revision-hash=2402447286,pod-template-generation=1
openshift-ansible-service-broker    asb-1-deploy                  0/1       Error       0          7d        10.131.0.4    ocp-server2.ps.lab   openshift.io/deployer-pod-for.name=asb-1
openshift-ansible-service-broker    asb-etcd-1-deploy             0/1       Error       0          7d        10.128.2.4    ocp-server3.ps.lab   openshift.io/deployer-pod-for.name=asb-etcd-1
openshift-template-service-broker   apiserver-qgrkb               1/1       Running     2          7d        10.131.0.10   ocp-server2.ps.lab   apiserver=true,controller-revision-hash=598350076,pod-template-generation=1
openshift-template-service-broker   apiserver-vsz4s               1/1       Running     3          7d        10.128.2.16   ocp-server3.ps.lab   apiserver=true,controller-revision-hash=598350076,pod-template-generation=1
openshift-web-console               webconsole-7db65c944b-drh6v   1/1       Running     1          7d        10.129.0.8    ocp-server1.ps.lab   app=openshift-web-console,pod-template-hash=3862175006,webconsole=true
sergey1                             nginx-example-1-4m7qs         1/1       Running     0          6d        10.128.2.18   ocp-server3.ps.lab   deployment=nginx-example-1,deploymentconfig=nginx-example,name=nginx-example
sergey1                             nginx-example-1-82dj9         1/1       Running     0          6d        10.131.0.11   ocp-server2.ps.lab   deployment=nginx-example-1,deploymentconfig=nginx-example,name=nginx-example
sergey1                             nginx-example-1-build         0/1       Completed   0          7d        10.128.0.2    ocp-server4.ps.lab   openshift.io/build.name=nginx-example-1
sergey1                             nginx-example-1-cnt2n         1/1       Running     1          7d        10.131.0.9    ocp-server2.ps.lab   deployment=nginx-example-1,deploymentconfig=nginx-example,name=nginx-example
sergey1                             nginx-example-1-hd4j9         1/1       Running     0          1d        10.131.0.16   ocp-server2.ps.lab   deployment=nginx-example-1,deploymentconfig=nginx-example,name=nginx-example
sergey1                             nginx-example-1-wkz4z         1/1       Running     0          6d        10.128.2.19   ocp-server3.ps.lab   deployment=nginx-example-1,deploymentconfig=nginx-example,name=nginx-example
sergey1                             nginx-example2-1-54qm8        1/1       Running     0          1d        10.131.0.17   ocp-server2.ps.lab   deployment=nginx-example2-1,deploymentconfig=nginx-example2,name=nginx-example2
sergey1                             nginx-example2-1-6rgmg        1/1       Running     0          6d        10.128.2.17   ocp-server3.ps.lab   deployment=nginx-example2-1,deploymentconfig=nginx-example2,name=nginx-example2
sergey1                             nginx-example2-1-build        0/1       Completed   0          6d        10.130.0.6    ocp-server5.ps.lab   openshift.io/build.name=nginx-example2-1
