NAMESPACE                           NAME                                      SECRETS   AGE       LABELS
default                             avi                                       2         13d       <none>
default                             builder                                   2         14d       <none>
default                             default                                   3         14d       <none>
default                             deployer                                  2         14d       <none>
default                             registry                                  3         14d       <none>
default                             router                                    2         14d       <none>
kube-public                         builder                                   2         14d       <none>
kube-public                         default                                   2         14d       <none>
kube-public                         deployer                                  2         14d       <none>
kube-service-catalog                builder                                   2         14d       <none>
kube-service-catalog                default                                   2         14d       <none>
kube-service-catalog                deployer                                  2         14d       <none>
kube-service-catalog                service-catalog-apiserver                 2         14d       <none>
kube-service-catalog                service-catalog-controller                2         14d       <none>
kube-system                         attachdetach-controller                   2         14d       <none>
kube-system                         builder                                   2         14d       <none>
kube-system                         certificate-controller                    2         14d       <none>
kube-system                         clusterrole-aggregation-controller        2         14d       <none>
kube-system                         cronjob-controller                        2         14d       <none>
kube-system                         daemon-set-controller                     2         14d       <none>
kube-system                         default                                   2         14d       <none>
kube-system                         deployer                                  2         14d       <none>
kube-system                         deployment-controller                     2         14d       <none>
kube-system                         disruption-controller                     2         14d       <none>
kube-system                         endpoint-controller                       2         14d       <none>
kube-system                         generic-garbage-collector                 2         14d       <none>
kube-system                         job-controller                            2         14d       <none>
kube-system                         namespace-controller                      2         14d       <none>
kube-system                         node-controller                           2         14d       <none>
kube-system                         persistent-volume-binder                  2         14d       <none>
kube-system                         pod-garbage-collector                     2         14d       <none>
kube-system                         replicaset-controller                     2         14d       <none>
kube-system                         replication-controller                    2         14d       <none>
kube-system                         resourcequota-controller                  2         14d       <none>
kube-system                         service-account-controller                2         14d       <none>
kube-system                         service-controller                        2         14d       <none>
kube-system                         statefulset-controller                    2         14d       <none>
logging                             builder                                   2         14d       <none>
logging                             default                                   2         14d       <none>
logging                             deployer                                  2         14d       <none>
management-infra                    builder                                   2         14d       <none>
management-infra                    default                                   2         14d       <none>
management-infra                    deployer                                  2         14d       <none>
management-infra                    inspector-admin                           2         14d       <none>
management-infra                    management-admin                          2         14d       <none>
openshift-ansible-service-broker    asb                                       2         14d       <none>
openshift-ansible-service-broker    asb-client                                2         14d       <none>
openshift-ansible-service-broker    builder                                   2         14d       <none>
openshift-ansible-service-broker    default                                   2         14d       <none>
openshift-ansible-service-broker    deployer                                  2         14d       <none>
openshift-infra                     build-config-change-controller            2         14d       <none>
openshift-infra                     build-controller                          2         14d       <none>
openshift-infra                     builder                                   2         14d       <none>
openshift-infra                     cluster-quota-reconciliation-controller   2         14d       <none>
openshift-infra                     default                                   2         14d       <none>
openshift-infra                     deployer                                  2         14d       <none>
openshift-infra                     deployer-controller                       2         14d       <none>
openshift-infra                     deploymentconfig-controller               2         14d       <none>
openshift-infra                     horizontal-pod-autoscaler                 2         14d       <none>
openshift-infra                     image-import-controller                   2         14d       <none>
openshift-infra                     image-trigger-controller                  2         14d       <none>
openshift-infra                     node-bootstrapper                         2         14d       <none>
openshift-infra                     origin-namespace-controller               2         14d       <none>
openshift-infra                     pv-recycler-controller                    2         14d       <none>
openshift-infra                     resourcequota-controller                  2         14d       <none>
openshift-infra                     sdn-controller                            2         14d       <none>
openshift-infra                     service-ingress-ip-controller             2         14d       <none>
openshift-infra                     service-serving-cert-controller           2         14d       <none>
openshift-infra                     serviceaccount-controller                 2         14d       <none>
openshift-infra                     serviceaccount-pull-secrets-controller    2         14d       <none>
openshift-infra                     template-instance-controller              2         14d       <none>
openshift-infra                     unidling-controller                       2         14d       <none>
openshift-node                      builder                                   2         14d       <none>
openshift-node                      default                                   2         14d       <none>
openshift-node                      deployer                                  2         14d       <none>
openshift-template-service-broker   apiserver                                 2         14d       <none>
openshift-template-service-broker   builder                                   2         14d       <none>
openshift-template-service-broker   default                                   2         14d       <none>
openshift-template-service-broker   deployer                                  2         14d       <none>
openshift-template-service-broker   templateservicebroker-client              2         14d       <none>
openshift-web-console               builder                                   2         14d       <none>
openshift-web-console               default                                   2         14d       <none>
openshift-web-console               deployer                                  2         14d       <none>
openshift-web-console               webconsole                                2         14d       app=openshift-web-console
openshift                           builder                                   2         14d       <none>
openshift                           default                                   2         14d       <none>
openshift                           deployer                                  2         14d       <none>
sergey1                             builder                                   2         13d       <none>
sergey1                             default                                   2         13d       <none>
sergey1                             deployer                                  2         13d       <none>
