NAMESPACE                           NAME               TYPE        CLUSTER-IP       EXTERNAL-IP   PORT(S)                   AGE       SELECTOR                                           LABELS
default                             docker-registry    ClusterIP   172.30.84.57     <none>        5000/TCP                  13d       docker-registry=default                            docker-registry=default
default                             kubernetes         ClusterIP   172.30.0.1       <none>        443/TCP,53/UDP,53/TCP     13d       <none>                                             component=apiserver,provider=kubernetes
default                             registry-console   ClusterIP   172.30.125.209   <none>        9000/TCP                  13d       name=registry-console                              app=registry-console,createdBy=registry-console-template,name=registry-console
default                             router             ClusterIP   172.30.27.215    <none>        80/TCP,443/TCP,1936/TCP   13d       router=router                                      router=router
kube-service-catalog                apiserver          ClusterIP   172.30.6.108     <none>        443/TCP                   13d       app=apiserver                                      <none>
openshift-ansible-service-broker    asb                ClusterIP   172.30.125.187   <none>        1338/TCP                  13d       app=openshift-ansible-service-broker,service=asb   app=openshift-ansible-service-broker,service=asb
openshift-ansible-service-broker    asb-etcd           ClusterIP   172.30.125.63    <none>        2379/TCP                  13d       app=etcd,service=asb-etcd                          app=etcd,service=asb-etcd
openshift-template-service-broker   apiserver          ClusterIP   172.30.255.133   <none>        443/TCP                   13d       apiserver=true                                     <none>
openshift-web-console               webconsole         ClusterIP   172.30.127.103   <none>        443/TCP                   13d       webconsole=true                                    app=openshift-web-console
sergey1                             nginx-example      ClusterIP   172.30.62.125    <none>        8080/TCP                  13d       name=nginx-example                                 template=nginx-example
sergey1                             nginx-example2     ClusterIP   172.30.158.171   <none>        8080/TCP                  12d       name=nginx-example2                                template=nginx-example
