NAMESPACE              NAME                                            DESCRIPTION                                                                        PARAMETERS        OBJECTS
kube-service-catalog   service-catalog-role-bindings                                                                                                      0 (all set)       14
kube-system            kube-system-service-catalog-role-bindings                                                                                          1 (all set)       2
openshift              3scale-gateway                                  3scale API Gateway                                                                 15 (6 blank)      2
openshift              amp-apicast-wildcard-router                                                                                                        3 (1 blank)       4
openshift              amp-pvc                                                                                                                            0 (all set)       4
openshift              amq62-basic                                     Application template for JBoss A-MQ brokers. These can be deployed as standal...   11 (4 blank)      6
openshift              amq62-persistent                                Application template for JBoss A-MQ brokers. These can be deployed as standal...   13 (4 blank)      8
openshift              amq62-persistent-ssl                            An example JBoss A-MQ application. For more information about using this temp...   18 (6 blank)      12
openshift              amq62-ssl                                       Application template for JBoss A-MQ brokers. These can be deployed as standal...   16 (6 blank)      10
openshift              amq63-basic                                     Application template for JBoss A-MQ brokers. These can be deployed as standal...   11 (4 blank)      6
openshift              amq63-persistent                                An example JBoss A-MQ application. For more information about using this temp...   13 (4 blank)      8
openshift              amq63-persistent-ssl                            An example JBoss A-MQ application. For more information about using this temp...   18 (6 blank)      12
openshift              amq63-ssl                                       An example JBoss A-MQ application. For more information about using this temp...   16 (6 blank)      10
openshift              cakephp-mysql-example                           An example CakePHP application with a MySQL database. For more information ab...   19 (4 blank)      8
openshift              cakephp-mysql-persistent                        An example CakePHP application with a MySQL database. For more information ab...   20 (4 blank)      9
openshift              dancer-mysql-example                            An example Dancer application with a MySQL database. For more information abo...   16 (5 blank)      8
openshift              dancer-mysql-persistent                         An example Dancer application with a MySQL database. For more information abo...   17 (5 blank)      9
openshift              datagrid65-basic                                Application template for JDG 6.5 applications.                                     14 (8 blank)      6
openshift              datagrid65-https                                Application template for JDG 6.5 applications.                                     23 (13 blank)     8
openshift              datagrid65-mysql                                Application template for JDG 6.5 and MySQL applications.                           36 (21 blank)     10
openshift              datagrid65-mysql-persistent                     An example JBoss Data Grid application with a MySQL database. For more inform...   37 (21 blank)     11
openshift              datagrid65-postgresql                           Application template for JDG 6.5 and PostgreSQL applications built using.          33 (18 blank)     10
openshift              datagrid65-postgresql-persistent                An example JBoss Data Grid application with a PostgreSQL database. For more i...   34 (18 blank)     11
openshift              datagrid71-basic                                An example JBoss Data Grid application. For more information about using this...   18 (12 blank)     6
openshift              datagrid71-https                                An example JBoss Data Grid application. For more information about using this...   27 (17 blank)     8
openshift              datagrid71-mysql                                An example JBoss Data Grid application with a MySQL database. For more inform...   40 (25 blank)     10
openshift              datagrid71-mysql-persistent                     An example JBoss Data Grid application with a MySQL database. For more inform...   41 (25 blank)     11
openshift              datagrid71-partition                            An example JBoss Data Grid application. For more information about using this...   20 (12 blank)     8
openshift              datagrid71-postgresql                           An example JBoss Data Grid application with a PostgreSQL database. For more i...   37 (22 blank)     10
openshift              datagrid71-postgresql-persistent                An example JBoss Data Grid application with a PostgreSQL database. For more i...   38 (22 blank)     11
openshift              datavirt63-basic-s2i                            Application template for JBoss Data Virtualization 6.3 services built using S2I.   19 (4 blank)      6
openshift              datavirt63-extensions-support-s2i               An example JBoss Data Virtualization application. For more information about...    34 (7 blank)      10
openshift              datavirt63-secure-s2i                           An example JBoss Data Virtualization application. For more information about...    50 (20 blank)     8
openshift              decisionserver64-amq-s2i                        An example BRMS decision server A-MQ application. For more information about...    30 (5 blank)      10
